Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer
15-09-2022,Asia,CRM,Direct Sales,Business,9365,6,625,No
16-09-2022,Europe,Database,Online,Business,8690,3,1707,Yes
17-09-2022,Australia,Antivirus,Direct Sales,Business,3393,18,1166,Yes
18-09-2022,South America,Database,Partner,Business,938,15,1648,Yes
19-09-2022,Asia,ERP,Partner,Consumer,9448,8,519,Yes
20-09-2022,Australia,CRM,Direct Sales,Business,5221,18,543,Yes
21-09-2022,Europe,Database,Online,Consumer,837,3,756,Yes
22-09-2022,Australia,Antivirus,Partner,Consumer,8184,6,816,Yes
23-09-2022,North America,CRM,Partner,Business,8698,15,1646,Yes
24-09-2022,Asia,Antivirus,Online,Consumer,6430,12,1560,Yes
25-09-2022,Europe,DevTools,Direct Sales,Consumer,4530,5,1424,No
26-09-2022,South America,ERP,Partner,Consumer,6656,7,1827,Yes
27-09-2022,Europe,DevTools,Online,Business,7096,15,871,No
28-09-2022,South America,ERP,Online,Business,8941,7,1857,No
29-09-2022,Europe,Database,Partner,Business,9563,13,1864,Yes
30-09-2022,Australia,CRM,Direct Sales,Business,5192,3,1151,No
01-10-2022,Australia,Database,Partner,Business,8005,13,642,No
02-10-2022,Australia,ERP,Online,Business,9649,3,1590,No
03-10-2022,North America,ERP,Partner,Business,1597,2,1005,No
04-10-2022,South America,ERP,Direct Sales,Consumer,281,4,1692,Yes
05-10-2022,Australia,Antivirus,Online,Consumer,8703,17,746,No
06-10-2022,North America,CRM,Direct Sales,Business,2033,6,1309,Yes
07-10-2022,South America,Database,Partner,Consumer,521,11,1262,No
08-10-2022,Europe,Database,Partner,Business,1685,6,650,No
09-10-2022,North America,DevTools,Direct Sales,Business,3903,2,1045,No
10-10-2022,Asia,ERP,Partner,Business,2271,17,627,Yes
11-10-2022,North America,ERP,Direct Sales,Consumer,3122,3,1197,Yes
12-10-2022,North America,ERP,Partner,Business,9755,12,1764,Yes
13-10-2022,South America,Database,Direct Sales,Business,7074,14,905,Yes
14-10-2022,Europe,DevTools,Direct Sales,Business,7151,2,1647,No
15-10-2022,Asia,Antivirus,Online,Business,1037,5,775,Yes
16-10-2022,Australia,CRM,Online,Consumer,7348,10,1511,No
17-10-2022,Australia,Antivirus,Direct Sales,Business,7420,10,1873,Yes
18-10-2022,North America,Database,Partner,Consumer,6631,9,986,No
19-10-2022,South America,ERP,Partner,Consumer,2362,13,1851,No
20-10-2022,South America,CRM,Partner,Business,4288,10,1258,Yes
21-10-2022,Australia,Database,Direct Sales,Business,8478,6,975,No
22-10-2022,Asia,Database,Direct Sales,Consumer,6735,11,1845,No
23-10-2022,Europe,Database,Direct Sales,Consumer,7354,4,548,No
24-10-2022,Asia,CRM,Direct Sales,Consumer,5915,14,542,No
25-10-2022,Europe,CRM,Online,Consumer,4551,17,1400,No
26-10-2022,Australia,DevTools,Direct Sales,Business,7615,2,1695,Yes
27-10-2022,Europe,DevTools,Partner,Consumer,772,10,1627,Yes
28-10-2022,South America,Antivirus,Online,Consumer,6764,3,619,No
29-10-2022,North America,CRM,Partner,Consumer,9972,7,1925,No
30-10-2022,North America,CRM,Direct Sales,Consumer,7824,7,1555,Yes
31-10-2022,Australia,CRM,Online,Business,2977,1,1924,Yes
01-11-2022,South America,DevTools,Direct Sales,Business,2850,8,994,Yes
02-11-2022,Asia,Database,Online,Business,6705,1,1541,No
03-11-2022,South America,ERP,Partner,Consumer,8969,8,1790,No
04-11-2022,North America,DevTools,Direct Sales,Consumer,5822,14,1071,Yes
05-11-2022,North America,CRM,Direct Sales,Business,5321,14,1947,Yes
06-11-2022,South America,DevTools,Online,Business,1688,2,897,Yes
07-11-2022,South America,Antivirus,Online,Consumer,7183,8,973,No
08-11-2022,North America,CRM,Direct Sales,Business,7053,19,1880,No
09-11-2022,Asia,Antivirus,Online,Consumer,9673,10,1954,No
10-11-2022,Australia,CRM,Direct Sales,Consumer,3072,7,928,Yes
11-11-2022,Australia,DevTools,Online,Consumer,7589,13,705,No
12-11-2022,South America,Database,Partner,Consumer,4397,15,1639,Yes
13-11-2022,Australia,ERP,Online,Consumer,5629,11,1894,Yes
14-11-2022,North America,Antivirus,Partner,Consumer,8183,14,1401,Yes
15-11-2022,North America,DevTools,Online,Business,2298,11,1452,No
16-11-2022,South America,Database,Online,Business,3494,2,1644,No
17-11-2022,South America,DevTools,Direct Sales,Business,7756,2,730,No
18-11-2022,South America,Antivirus,Online,Consumer,5748,12,1960,No
19-11-2022,Asia,ERP,Online,Business,1015,15,1046,No
20-11-2022,Australia,DevTools,Partner,Consumer,4359,17,1442,No
21-11-2022,South America,CRM,Online,Consumer,5908,14,1203,Yes
22-11-2022,Europe,Database,Direct Sales,Consumer,9104,16,1202,Yes
23-11-2022,Europe,DevTools,Partner,Consumer,1966,8,1554,No
24-11-2022,North America,Database,Direct Sales,Business,8079,17,1992,No
25-11-2022,Australia,CRM,Direct Sales,Business,1393,5,1489,No
26-11-2022,South America,ERP,Direct Sales,Business,2498,12,1691,Yes
27-11-2022,Europe,ERP,Direct Sales,Consumer,2509,6,541,No
28-11-2022,Australia,CRM,Partner,Business,8787,18,1716,Yes
29-11-2022,North America,Database,Online,Business,2070,5,950,No
30-11-2022,Asia,DevTools,Direct Sales,Business,7891,6,690,Yes
01-12-2022,Australia,CRM,Partner,Consumer,4672,9,670,Yes
02-12-2022,Australia,Antivirus,Direct Sales,Business,9991,15,1520,No
03-12-2022,Asia,Database,Online,Consumer,8407,10,1996,Yes
04-12-2022,Australia,ERP,Partner,Business,7423,17,1499,Yes
05-12-2022,North America,CRM,Partner,Consumer,8720,19,894,Yes
06-12-2022,North America,ERP,Online,Business,6377,12,805,Yes
07-12-2022,Asia,Database,Partner,Business,8452,9,1289,No
08-12-2022,South America,ERP,Online,Business,2685,15,598,Yes
09-12-2022,Europe,CRM,Partner,Consumer,1067,14,1099,Yes
10-12-2022,South America,Database,Partner,Business,6198,1,1499,Yes
11-12-2022,Australia,Antivirus,Online,Business,4403,17,1951,No
12-12-2022,Europe,CRM,Online,Consumer,4322,1,1138,No
13-12-2022,Asia,DevTools,Partner,Consumer,5315,13,800,Yes
14-12-2022,Asia,CRM,Partner,Consumer,3678,8,1726,No
15-12-2022,Europe,Database,Online,Consumer,6298,13,1616,No
16-12-2022,North America,CRM,Online,Business,403,16,1790,No
17-12-2022,Europe,Antivirus,Partner,Business,9702,2,822,No
18-12-2022,Australia,Antivirus,Partner,Consumer,9255,13,1107,No
19-12-2022,North America,DevTools,Partner,Business,9359,18,1972,No
20-12-2022,Asia,ERP,Online,Consumer,3714,3,737,No
21-12-2022,Europe,Database,Partner,Business,5366,13,1507,Yes
22-12-2022,South America,Database,Direct Sales,Consumer,9546,19,856,Yes
23-12-2022,South America,ERP,Online,Business,9033,13,1250,Yes
24-12-2022,Australia,Antivirus,Partner,Consumer,7923,19,1701,No
25-12-2022,South America,Antivirus,Online,Consumer,4133,4,1233,Yes
26-12-2022,Europe,CRM,Direct Sales,Business,5687,19,1708,No
27-12-2022,Europe,DevTools,Online,Business,7950,18,1140,No
28-12-2022,South America,DevTools,Partner,Business,2803,6,1999,Yes
29-12-2022,Europe,DevTools,Direct Sales,Consumer,6302,19,1154,Yes
30-12-2022,Australia,CRM,Direct Sales,Business,8297,4,724,Yes
31-12-2022,North America,DevTools,Partner,Consumer,7104,4,1103,Yes
01-01-2022,Australia,ERP,Partner,Business,4847,7,1614,No
02-01-2022,Australia,CRM,Partner,Business,5888,7,1772,Yes
03-01-2022,Europe,ERP,Online,Consumer,9888,16,1190,Yes
04-01-2022,North America,CRM,Online,Consumer,6060,16,1392,No
05-01-2022,Europe,DevTools,Online,Business,7878,5,1767,No
06-01-2022,Asia,ERP,Partner,Consumer,7293,15,1720,No
07-01-2022,Europe,ERP,Partner,Consumer,7045,4,1487,No
08-01-2022,Europe,ERP,Online,Business,7192,13,1723,No
09-01-2022,Europe,CRM,Direct Sales,Consumer,4599,19,1364,Yes
10-01-2022,North America,Database,Online,Business,4794,7,507,Yes
11-01-2022,Europe,DevTools,Direct Sales,Business,4732,12,562,No
12-01-2022,North America,ERP,Partner,Consumer,429,9,1970,Yes
13-01-2022,South America,Database,Partner,Business,2487,17,717,No
14-01-2022,Asia,DevTools,Online,Consumer,1630,2,1107,Yes
15-01-2022,North America,DevTools,Online,Business,8876,16,1901,Yes
16-01-2022,South America,ERP,Partner,Consumer,2822,7,793,Yes
17-01-2022,North America,ERP,Online,Consumer,1471,18,1766,Yes
18-01-2022,North America,CRM,Partner,Consumer,1286,7,1727,Yes
19-01-2022,Asia,Database,Partner,Consumer,7030,1,1979,No
20-01-2022,Australia,Database,Direct Sales,Consumer,160,3,923,Yes
21-01-2022,Australia,ERP,Online,Business,4766,11,973,Yes
22-01-2022,North America,DevTools,Partner,Business,1277,15,1854,Yes
23-01-2022,Europe,ERP,Online,Consumer,8512,3,851,Yes
24-01-2022,South America,DevTools,Direct Sales,Business,9589,13,1322,No
25-01-2022,Europe,DevTools,Direct Sales,Consumer,9592,4,1561,No
26-01-2022,Europe,ERP,Online,Consumer,4475,8,908,No
27-01-2022,North America,Antivirus,Online,Business,6481,4,1908,Yes
28-01-2022,North America,Database,Partner,Business,6037,18,1499,No
29-01-2022,North America,DevTools,Direct Sales,Consumer,3565,7,571,No
30-01-2022,North America,DevTools,Direct Sales,Consumer,4496,11,704,No
31-01-2022,Australia,Antivirus,Direct Sales,Consumer,737,4,786,No
01-02-2022,North America,CRM,Online,Consumer,7977,13,867,Yes
02-02-2022,Australia,Antivirus,Partner,Consumer,2484,9,1596,Yes
03-02-2022,Australia,Antivirus,Online,Consumer,4659,9,633,Yes
04-02-2022,North America,DevTools,Online,Business,4858,19,1026,Yes
05-02-2022,Asia,Database,Online,Consumer,5651,3,1867,No
06-02-2022,South America,Antivirus,Partner,Consumer,8197,12,1335,Yes
07-02-2022,Europe,CRM,Online,Business,6950,11,898,Yes
08-02-2022,Australia,ERP,Direct Sales,Consumer,6664,11,1936,Yes
09-02-2022,South America,Antivirus,Direct Sales,Consumer,5315,17,866,No
10-02-2022,Asia,Antivirus,Direct Sales,Business,1050,14,1858,No
11-02-2022,Europe,CRM,Partner,Consumer,4080,16,1589,No
12-02-2022,Europe,Database,Online,Business,9577,10,1611,Yes
13-02-2022,Australia,Antivirus,Partner,Consumer,9956,4,1647,Yes
14-02-2022,North America,Antivirus,Online,Business,7332,10,1260,Yes
15-02-2022,Asia,Database,Direct Sales,Business,2352,12,1722,Yes
16-02-2022,Australia,CRM,Online,Business,1109,9,1754,No
17-02-2022,Asia,Antivirus,Online,Consumer,4206,15,1041,Yes
18-02-2022,North America,Database,Online,Consumer,8580,9,1101,No
19-02-2022,North America,Antivirus,Partner,Business,7246,7,1833,No
20-02-2022,Australia,ERP,Online,Business,8851,12,1287,Yes
21-02-2022,North America,DevTools,Online,Consumer,6196,14,1800,No
22-02-2022,South America,ERP,Online,Consumer,1390,16,1440,Yes
23-02-2022,Europe,Antivirus,Partner,Consumer,1236,19,1390,Yes
24-02-2022,Australia,CRM,Partner,Consumer,575,3,546,Yes
25-02-2022,Asia,DevTools,Partner,Consumer,5714,11,917,Yes
26-02-2022,South America,ERP,Online,Business,2505,19,1253,No
27-02-2022,Australia,Database,Direct Sales,Consumer,7370,8,1381,No
28-02-2022,North America,CRM,Direct Sales,Business,6894,8,1446,Yes
01-03-2022,North America,ERP,Direct Sales,Consumer,3249,3,1574,No
02-03-2022,North America,Database,Online,Business,1850,10,1484,No
03-03-2022,North America,Antivirus,Direct Sales,Business,1114,13,1773,No
04-03-2022,Asia,Database,Direct Sales,Consumer,7399,9,943,Yes
05-03-2022,South America,ERP,Direct Sales,Business,4559,6,1462,Yes
06-03-2022,Europe,ERP,Online,Business,3303,15,577,Yes
07-03-2022,Asia,Antivirus,Direct Sales,Business,8581,16,1220,No
08-03-2022,Asia,Database,Direct Sales,Business,5977,5,902,Yes
09-03-2022,Europe,Database,Online,Consumer,5228,13,1071,Yes
10-03-2022,Europe,Antivirus,Partner,Business,7459,19,1032,Yes
11-03-2022,North America,Database,Direct Sales,Consumer,8174,2,591,Yes
12-03-2022,Asia,Antivirus,Partner,Business,6892,6,1200,Yes
13-03-2022,Australia,CRM,Direct Sales,Consumer,4456,1,1992,Yes
14-03-2022,Europe,ERP,Online,Consumer,3855,15,948,No
15-03-2022,Europe,CRM,Partner,Consumer,7739,15,1604,Yes
16-03-2022,South America,DevTools,Partner,Business,5227,14,1322,No
17-03-2022,Australia,DevTools,Partner,Consumer,7073,7,988,Yes
18-03-2022,Australia,DevTools,Partner,Consumer,8915,5,634,No
19-03-2022,Europe,Antivirus,Direct Sales,Business,9167,16,824,No
20-03-2022,North America,Database,Direct Sales,Consumer,2849,17,1673,No
21-03-2022,South America,CRM,Partner,Business,1960,11,919,Yes
22-03-2022,Australia,CRM,Direct Sales,Business,2687,15,716,Yes
23-03-2022,Europe,CRM,Partner,Consumer,7539,16,997,No
24-03-2022,Australia,CRM,Partner,Business,3764,3,1376,No
25-03-2022,South America,DevTools,Online,Business,1817,6,1555,Yes
26-03-2022,South America,CRM,Partner,Business,1074,13,1081,Yes
27-03-2022,Asia,Database,Direct Sales,Consumer,3340,1,1247,Yes
28-03-2022,Europe,DevTools,Partner,Business,1448,14,1182,No
29-03-2022,South America,CRM,Online,Business,1648,2,514,No
30-03-2022,Asia,Antivirus,Direct Sales,Business,6870,2,1093,No
31-03-2022,Asia,ERP,Online,Consumer,295,15,1381,No
01-04-2022,Australia,ERP,Online,Business,1264,18,1355,No
02-04-2022,Australia,ERP,Partner,Consumer,8459,9,1625,Yes
03-04-2022,Asia,DevTools,Online,Business,8465,3,1506,No
04-04-2022,Australia,CRM,Online,Consumer,3360,4,915,No
05-04-2022,South America,DevTools,Direct Sales,Consumer,971,15,883,Yes
06-04-2022,North America,Database,Online,Consumer,7079,5,1196,Yes
07-04-2022,South America,Antivirus,Partner,Business,3665,5,1599,Yes
08-04-2022,Asia,Antivirus,Partner,Business,550,10,641,No
09-04-2022,Asia,ERP,Partner,Business,1662,16,1922,Yes
10-04-2022,South America,ERP,Online,Consumer,1458,12,1315,No
11-04-2022,Australia,ERP,Direct Sales,Business,5932,14,960,Yes
12-04-2022,Australia,CRM,Partner,Business,8991,11,1540,No
13-04-2022,Asia,Database,Online,Consumer,7951,19,567,No
14-04-2022,Europe,Database,Partner,Business,5511,6,1227,Yes
15-04-2022,Australia,Database,Partner,Business,4279,10,1229,No
16-04-2022,South America,Database,Direct Sales,Consumer,6225,3,743,Yes
17-04-2022,Australia,ERP,Partner,Consumer,4494,15,1756,No
18-04-2022,South America,Antivirus,Direct Sales,Business,2536,11,1695,No
19-04-2022,Asia,ERP,Online,Consumer,6824,2,729,No
20-04-2022,Australia,Database,Partner,Business,8745,6,1046,Yes
21-04-2022,South America,ERP,Online,Business,3791,17,651,No
22-04-2022,Asia,Database,Online,Business,8431,18,1773,Yes
23-04-2022,Europe,DevTools,Online,Business,4368,4,985,No
24-04-2022,South America,Antivirus,Partner,Business,4073,9,1159,No
25-04-2022,Europe,DevTools,Direct Sales,Consumer,380,10,986,Yes
26-04-2022,Europe,CRM,Partner,Consumer,6983,2,965,Yes
27-04-2022,North America,ERP,Online,Business,8094,11,1621,No
28-04-2022,Australia,CRM,Direct Sales,Consumer,6669,11,1621,No
29-04-2022,South America,ERP,Online,Consumer,1598,11,1277,No
30-04-2022,Europe,DevTools,Direct Sales,Business,1123,1,1486,No
01-05-2022,North America,Database,Partner,Consumer,5771,14,1267,No
02-05-2022,Asia,Database,Direct Sales,Consumer,4075,1,543,No
03-05-2022,South America,ERP,Partner,Business,4348,9,599,Yes
04-05-2022,Europe,Database,Online,Business,9681,1,1076,No
05-05-2022,Australia,DevTools,Direct Sales,Business,7267,4,1625,Yes
06-05-2022,North America,Database,Online,Business,4177,1,1870,No
07-05-2022,Europe,DevTools,Direct Sales,Business,289,19,545,No
08-05-2022,Australia,CRM,Partner,Business,438,10,1052,Yes
09-05-2022,Europe,DevTools,Direct Sales,Business,6880,15,836,No
10-05-2022,South America,Antivirus,Direct Sales,Consumer,8394,4,1723,No
11-05-2022,South America,Antivirus,Partner,Business,7106,14,1769,Yes
12-05-2022,South America,Antivirus,Partner,Consumer,4118,5,810,No
13-05-2022,North America,ERP,Partner,Consumer,408,15,1566,Yes
14-05-2022,South America,ERP,Direct Sales,Business,9677,15,1598,No
15-05-2022,Australia,ERP,Online,Consumer,9865,16,766,No
16-05-2022,Europe,DevTools,Direct Sales,Consumer,5539,16,1151,Yes
17-05-2022,Asia,ERP,Direct Sales,Consumer,800,4,1431,Yes
18-05-2022,Australia,CRM,Online,Business,5456,9,539,No
19-05-2022,Australia,Antivirus,Partner,Consumer,8934,1,1107,Yes
20-05-2022,South America,DevTools,Direct Sales,Consumer,6832,5,732,Yes
21-05-2022,North America,Antivirus,Online,Business,7228,9,1313,Yes
22-05-2022,Europe,ERP,Partner,Consumer,941,5,1764,No
23-05-2022,North America,DevTools,Partner,Consumer,1154,4,1287,Yes
24-05-2022,Europe,Database,Direct Sales,Consumer,1361,16,554,Yes
25-05-2022,Europe,CRM,Partner,Consumer,9053,2,544,Yes
26-05-2022,North America,ERP,Partner,Consumer,5306,16,1408,Yes
27-05-2022,Australia,ERP,Online,Business,7937,18,992,Yes
28-05-2022,Europe,CRM,Online,Consumer,1241,2,1359,No
29-05-2022,North America,CRM,Partner,Business,9284,16,745,No
30-05-2022,Europe,Database,Online,Consumer,8229,1,1665,No
31-05-2022,Asia,ERP,Partner,Business,2325,16,1791,No
01-06-2022,Australia,ERP,Direct Sales,Business,8754,3,1834,No
02-06-2022,South America,Antivirus,Online,Business,2708,15,956,Yes
03-06-2022,Europe,DevTools,Partner,Consumer,2133,11,1491,Yes
04-06-2022,Asia,DevTools,Partner,Consumer,2716,10,919,No
05-06-2022,South America,Antivirus,Online,Consumer,9109,17,1644,Yes
06-06-2022,South America,DevTools,Online,Consumer,9164,4,681,Yes
07-06-2022,Europe,CRM,Direct Sales,Consumer,3357,17,1644,Yes
08-06-2022,North America,DevTools,Partner,Business,7084,4,1160,No
09-06-2022,Europe,DevTools,Direct Sales,Business,6790,19,1783,Yes
10-06-2022,Asia,Antivirus,Direct Sales,Business,8085,1,1608,Yes
11-06-2022,South America,Database,Direct Sales,Consumer,3035,14,1065,No
12-06-2022,Europe,DevTools,Online,Consumer,5150,11,1855,No
13-06-2022,North America,DevTools,Direct Sales,Business,6710,7,925,Yes
14-06-2022,Europe,Database,Online,Consumer,360,17,1950,Yes
15-06-2022,Australia,Antivirus,Online,Consumer,3830,4,1651,No
16-06-2022,North America,Database,Direct Sales,Business,6989,10,1986,No
17-06-2022,Asia,Antivirus,Direct Sales,Business,2601,17,581,Yes
18-06-2022,South America,CRM,Partner,Consumer,9581,4,911,Yes
19-06-2022,Europe,Antivirus,Direct Sales,Consumer,399,19,1612,No
20-06-2022,North America,CRM,Partner,Business,9585,18,1883,Yes
21-06-2022,Australia,CRM,Direct Sales,Consumer,2246,17,543,No
22-06-2022,North America,Antivirus,Direct Sales,Business,583,6,500,No
23-06-2022,Australia,ERP,Direct Sales,Business,2995,7,884,No
24-06-2022,Asia,Antivirus,Direct Sales,Business,7884,6,1779,Yes
25-06-2022,South America,DevTools,Partner,Consumer,7549,12,1651,Yes
26-06-2022,Asia,DevTools,Partner,Business,2168,9,1010,No
27-06-2022,Europe,ERP,Direct Sales,Business,2048,18,503,No
28-06-2022,North America,CRM,Direct Sales,Consumer,6462,2,1332,No
29-06-2022,Australia,ERP,Partner,Business,4635,17,857,No
30-06-2022,Australia,DevTools,Online,Consumer,7944,1,1618,Yes
01-07-2022,North America,ERP,Online,Consumer,339,9,1170,No
02-07-2022,North America,Antivirus,Online,Consumer,6143,6,1518,No
03-07-2022,Europe,ERP,Partner,Business,7334,2,1778,No
04-07-2022,Asia,CRM,Partner,Business,9935,6,1304,Yes
05-07-2022,Australia,Antivirus,Online,Consumer,6820,9,1004,No
06-07-2022,Europe,Database,Online,Consumer,2395,3,1654,No
07-07-2022,Asia,DevTools,Direct Sales,Consumer,1171,16,898,No
08-07-2022,Europe,DevTools,Partner,Business,6445,15,1837,No
09-07-2022,Australia,ERP,Partner,Consumer,5280,12,607,No
10-07-2022,North America,Antivirus,Online,Consumer,9002,8,1753,Yes
11-07-2022,North America,Database,Online,Consumer,7293,6,637,Yes
12-07-2022,Asia,Antivirus,Partner,Business,5146,3,584,Yes
13-07-2022,South America,DevTools,Direct Sales,Consumer,4096,4,1045,No
14-07-2022,Asia,Antivirus,Online,Business,4103,10,1935,No
15-07-2022,South America,Database,Partner,Business,2340,14,1975,Yes
16-07-2022,Europe,ERP,Partner,Consumer,272,15,803,No
17-07-2022,Europe,CRM,Direct Sales,Consumer,5792,7,723,Yes
18-07-2022,Australia,Antivirus,Direct Sales,Consumer,2203,7,1029,No
19-07-2022,South America,CRM,Online,Business,2162,8,1006,Yes
20-07-2022,Australia,DevTools,Online,Business,1341,10,1639,Yes
21-07-2022,North America,ERP,Online,Business,1977,19,1166,No
22-07-2022,South America,ERP,Partner,Consumer,415,19,1670,No
23-07-2022,Asia,Antivirus,Online,Business,6775,2,1623,Yes
24-07-2022,North America,ERP,Partner,Consumer,4074,15,1367,Yes
25-07-2022,North America,Antivirus,Online,Consumer,5659,1,1750,No
26-07-2022,Asia,Antivirus,Direct Sales,Consumer,6406,10,793,Yes
27-07-2022,North America,CRM,Direct Sales,Business,9728,6,743,No
28-07-2022,South America,ERP,Partner,Business,776,13,1626,Yes
29-07-2022,Australia,Antivirus,Direct Sales,Business,4237,10,867,No
30-07-2022,North America,CRM,Partner,Consumer,2534,12,504,No
31-07-2022,South America,Database,Partner,Business,4819,6,1868,No
01-08-2022,Europe,CRM,Direct Sales,Business,9213,6,1434,Yes
02-08-2022,South America,CRM,Partner,Consumer,7267,1,1167,No
03-08-2022,Australia,Antivirus,Direct Sales,Consumer,6653,12,1589,No
04-08-2022,South America,DevTools,Online,Business,4468,10,1000,No
05-08-2022,Asia,DevTools,Online,Consumer,6744,14,1930,Yes
06-08-2022,Australia,DevTools,Direct Sales,Business,421,15,603,No
07-08-2022,Europe,CRM,Direct Sales,Consumer,5904,4,1461,No
08-08-2022,Asia,Antivirus,Direct Sales,Consumer,5582,1,1666,No
09-08-2022,South America,ERP,Direct Sales,Business,3532,8,1204,No
10-08-2022,Australia,CRM,Online,Consumer,2095,3,1632,No
11-08-2022,Europe,CRM,Partner,Consumer,8095,14,1890,Yes
12-08-2022,Asia,Antivirus,Partner,Consumer,633,17,1616,No
13-08-2022,Europe,Database,Online,Business,790,2,964,No
14-08-2022,South America,CRM,Partner,Consumer,4461,15,1343,Yes
15-08-2022,Europe,Database,Online,Consumer,2600,6,1867,Yes
16-08-2022,North America,Database,Partner,Business,7480,5,1174,Yes
17-08-2022,Asia,DevTools,Direct Sales,Business,6378,14,1523,Yes
18-08-2022,Europe,Antivirus,Direct Sales,Consumer,7748,19,1198,No
19-08-2022,South America,Database,Direct Sales,Consumer,3314,9,682,Yes
20-08-2022,South America,Antivirus,Online,Consumer,7431,8,588,No
21-08-2022,Europe,DevTools,Online,Business,8637,3,1928,Yes
22-08-2022,South America,Antivirus,Partner,Consumer,3518,18,1419,Yes
23-08-2022,Australia,CRM,Partner,Business,3465,8,656,No
24-08-2022,Australia,Database,Partner,Business,9010,16,1786,Yes
25-08-2022,Australia,Antivirus,Online,Consumer,593,15,1284,Yes
26-08-2022,North America,ERP,Partner,Consumer,3567,15,1658,No
27-08-2022,Europe,Antivirus,Direct Sales,Business,1275,16,690,Yes
28-08-2022,North America,Database,Partner,Consumer,387,1,1860,Yes
29-08-2022,South America,DevTools,Direct Sales,Consumer,1217,10,1386,Yes
30-08-2022,North America,DevTools,Online,Business,4369,19,1607,No
31-08-2022,South America,Database,Direct Sales,Consumer,6901,5,547,No
01-09-2022,South America,CRM,Direct Sales,Business,2964,18,973,No
02-09-2022,Asia,CRM,Direct Sales,Consumer,8512,3,901,No
03-09-2022,Australia,DevTools,Online,Business,4432,4,1924,No
04-09-2022,South America,DevTools,Online,Business,9685,4,778,Yes
05-09-2022,Asia,Database,Online,Consumer,9546,11,1561,No
06-09-2022,Australia,CRM,Online,Business,7755,9,564,Yes
07-09-2022,South America,DevTools,Partner,Business,9331,1,797,No
08-09-2022,South America,CRM,Online,Consumer,7100,16,1008,Yes
09-09-2022,North America,DevTools,Direct Sales,Consumer,8966,9,1692,No
10-09-2022,North America,Antivirus,Online,Consumer,2441,11,1685,No
11-09-2022,Australia,ERP,Partner,Business,3520,6,1929,Yes
12-09-2022,South America,Antivirus,Partner,Business,7554,17,1875,Yes
13-09-2022,Europe,DevTools,Partner,Business,4303,12,622,Yes
14-09-2022,North America,ERP,Direct Sales,Consumer,8390,8,1745,Yes
15-09-2022,Australia,ERP,Online,Business,8789,16,1177,No
16-09-2022,South America,DevTools,Online,Business,3067,5,1799,Yes
17-09-2022,South America,DevTools,Online,Consumer,8252,1,634,Yes
18-09-2022,Europe,CRM,Direct Sales,Business,1627,17,1734,No
19-09-2022,Australia,DevTools,Direct Sales,Consumer,3409,8,739,Yes
20-09-2022,South America,Database,Partner,Consumer,5228,10,1001,Yes
21-09-2022,North America,DevTools,Partner,Consumer,2342,18,543,Yes
22-09-2022,Europe,Database,Online,Business,5835,15,686,No
23-09-2022,Australia,DevTools,Direct Sales,Business,5829,13,1169,Yes
24-09-2022,Europe,CRM,Direct Sales,Business,2148,10,1728,No
25-09-2022,North America,Database,Online,Consumer,7977,9,1661,Yes
26-09-2022,Australia,Antivirus,Online,Consumer,6353,13,853,No
27-09-2022,Europe,Database,Partner,Consumer,3246,3,728,No
28-09-2022,Asia,CRM,Partner,Business,2399,3,1084,Yes
29-09-2022,North America,Database,Partner,Business,8800,1,1825,Yes
30-09-2022,North America,DevTools,Online,Business,8374,2,637,Yes
01-10-2022,North America,DevTools,Online,Business,2375,11,1314,Yes
02-10-2022,Asia,CRM,Partner,Business,452,14,633,Yes
03-10-2022,Asia,ERP,Partner,Consumer,8065,10,1205,Yes
04-10-2022,South America,DevTools,Direct Sales,Business,6194,7,690,No
05-10-2022,Europe,Antivirus,Direct Sales,Consumer,1099,1,621,No
06-10-2022,South America,CRM,Partner,Consumer,5915,7,786,Yes
07-10-2022,Europe,Database,Partner,Business,4577,15,883,No
08-10-2022,Asia,Database,Direct Sales,Consumer,7768,11,914,Yes
09-10-2022,Asia,Antivirus,Partner,Business,2170,6,1468,Yes
10-10-2022,South America,DevTools,Direct Sales,Business,4586,7,582,No
11-10-2022,Australia,CRM,Direct Sales,Consumer,1647,7,621,Yes
12-10-2022,South America,Antivirus,Direct Sales,Business,9580,1,783,No
13-10-2022,Europe,DevTools,Online,Business,7810,10,1808,Yes
14-10-2022,South America,CRM,Online,Consumer,7394,15,1443,No
15-10-2022,North America,Database,Partner,Consumer,6933,8,1596,Yes
16-10-2022,Europe,CRM,Direct Sales,Consumer,4291,19,1056,No
17-10-2022,Europe,ERP,Online,Consumer,9240,3,820,No
18-10-2022,Australia,CRM,Partner,Consumer,822,15,557,Yes
19-10-2022,Asia,ERP,Partner,Consumer,8052,4,1233,Yes
20-10-2022,Europe,CRM,Partner,Business,2231,6,1361,No
21-10-2022,Asia,ERP,Partner,Business,3308,10,1846,Yes
22-10-2022,South America,Database,Partner,Business,5242,18,1823,Yes
23-10-2022,North America,DevTools,Direct Sales,Consumer,7848,16,1137,Yes
24-10-2022,Australia,ERP,Partner,Business,8401,18,1135,Yes
25-10-2022,Asia,ERP,Direct Sales,Consumer,5879,6,742,Yes
26-10-2022,Europe,Database,Online,Business,4090,19,886,Yes
